date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:18:04	1684/1684	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%229376a5eec84e7198d01fd7fafbfa9448%22	https://homeconstruction.nicepage.io/robots.txt		(from )
23:18:04	66360/66360	---M-Z	200	added ('OK')	text/html	etag:W/%22cb069735056ca8ca2aa99b71f3712c4a%22	https://homeconstruction.nicepage.io/?version=8e80013a-8d84-4fa6-9dee-d301945c26dd	C:/Users/beaux/Desktop/consite/construct/homeconstruction.nicepage.io/index3130.html	(from )
23:18:07	629900/629900	---MCZ	200	added ('OK')	text/css	etag:W/%22b7c780ee36eb502ae007d4f13367c025%22	http://capp.nicepage.com/ac8fb6fb0dea48cd4daed7a7a49112782e4a8011/nicepage.css	C:/Users/beaux/Desktop/consite/construct/capp.nicepage.com/ac8fb6fb0dea48cd4daed7a7a49112782e4a8011/nicepage.css	(from https://homeconstruction.nicepage.io/?version=8e80013a-8d84-4fa6-9dee-d301945c26dd)
23:18:07	29420/29420	---M-Z	200	added ('OK')	text/css	etag:W/%22996c280ec7d07de6d76d13c283e23ae9%22	https://homeconstruction.nicepage.io/Home-1.css	C:/Users/beaux/Desktop/consite/construct/homeconstruction.nicepage.io/Home-1.css	(from https://homeconstruction.nicepage.io/?version=8e80013a-8d84-4fa6-9dee-d301945c26dd)
23:18:12	304320/304320	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22e511ee94c3b4c52e13eb37d3169b0457%22	http://capp.nicepage.com/ac8fb6fb0dea48cd4daed7a7a49112782e4a8011/nicepage.js	C:/Users/beaux/Desktop/consite/construct/capp.nicepage.com/ac8fb6fb0dea48cd4daed7a7a49112782e4a8011/nicepage.js	(from https://homeconstruction.nicepage.io/?version=8e80013a-8d84-4fa6-9dee-d301945c26dd)
23:18:14	808532/808532	---M-Z	200	added ('OK')	text/css	etag:W/%2227486da8ef66f1c3a394376f02c243b4%22	https://homeconstruction.nicepage.io/nicepage-site.css	C:/Users/beaux/Desktop/consite/construct/homeconstruction.nicepage.io/nicepage-site.css	(from https://homeconstruction.nicepage.io/?version=8e80013a-8d84-4fa6-9dee-d301945c26dd)
23:18:14	89476/89476	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dc5e7f18c8d36ac1d3d4753a87c98d0a%22	http://capp.nicepage.com/assets/jquery-3.5.1.min.js	C:/Users/beaux/Desktop/consite/construct/capp.nicepage.com/assets/jquery-3.5.1.min.js	(from https://homeconstruction.nicepage.io/?version=8e80013a-8d84-4fa6-9dee-d301945c26dd)
23:18:14	66360/66360	---M-Z	200	added ('OK')	text/html	etag:W/%22cb069735056ca8ca2aa99b71f3712c4a%22	https://homeconstruction.nicepage.io/	C:/Users/beaux/Desktop/consite/construct/homeconstruction.nicepage.io/index.html	(from https://homeconstruction.nicepage.io/?version=8e80013a-8d84-4fa6-9dee-d301945c26dd)
23:18:14	331331/331331	---M--	200	added ('OK')	image/jpeg	etag:%22d6e2afe30e734a99293235ae34e1280f%22	https://pixabay.com/get/gbea0027ef0c9b088e37c3f2201e678171c99adb1a523ac300fe1c448f74776118b0749e1fb48c066a29d8f30ed1303b056b46df312347a05cb79a24c76cd8e36_1280.jpg	C:/Users/beaux/Desktop/consite/construct/pixabay.com/get/large-home-gbea0027ef_1280.jpg	(from https://homeconstruction.nicepage.io/?version=8e80013a-8d84-4fa6-9dee-d301945c26dd)
23:18:14	258115/258115	---M--	200	added ('OK')	image/jpeg	etag:%22c40155c9eaabb8e8447e58b497d27ab3%22	https://pixabay.com/get/g3858600dd46114801922f767380171371d436e3180354dc6a441760de141695f31b823d8db29729012362b29b54384ffa2e54645de48a5960d7c3f812832f892_1280.jpg	C:/Users/beaux/Desktop/consite/construct/pixabay.com/get/evening-g3858600dd_1280.jpg	(from https://homeconstruction.nicepage.io/?version=8e80013a-8d84-4fa6-9dee-d301945c26dd)
23:18:14	1332704/1332704	---M--	200	added ('OK')	image/png	etag:%22049aaa833f5b6be4d51a2fe595230724%22	https://pixabay.com/get/gc80ac52d1a37c9af9a45c4466c4c2f8f776a7cb7880826660d56c33b4091c763daf5d31371fe32d957b154eb4a606c03dce1a04957fa8fbdd8ff767086cafdaf_1280.png	C:/Users/beaux/Desktop/consite/construct/pixabay.com/get/interior-gc80ac52d1_1280.png	(from https://homeconstruction.nicepage.io/?version=8e80013a-8d84-4fa6-9dee-d301945c26dd)
23:18:14	133124/133124	---M--	200	added ('OK')	image/jpeg	etag:%220e0016c9489ae97eb11b8727ac7464c2%22	https://pixabay.com/get/g92651bbea6e211c873f7fba1431905cafd10d9c2626ef3d02e86a34883c466ddb2a29ebf383cb7e13b64f5af0f42dbe9962264230db2e69c69c67352ff405994_1280.jpg	C:/Users/beaux/Desktop/consite/construct/pixabay.com/get/modern-minimalist-bathroom-g92651bbea_1280.jpg	(from https://homeconstruction.nicepage.io/?version=8e80013a-8d84-4fa6-9dee-d301945c26dd)
23:18:14	533917/533917	---M--	200	added ('OK')	image/jpeg	etag:%2261819dba6529c5e6059e2618dce60360%22	https://pixabay.com/get/g1929eab29dac6434875caa64fb85ac8c806ec736ec1ee9501319a6978063ec109251fc00f7a18bb0325233f9b3985dc6516ae24c428658ec5e962fb625571682_1280.jpg	C:/Users/beaux/Desktop/consite/construct/pixabay.com/get/new-england-g1929eab29_1280.jpg	(from https://homeconstruction.nicepage.io/?version=8e80013a-8d84-4fa6-9dee-d301945c26dd)
23:18:16	815/815	---M--	200	added ('OK')	image/png	etag:%22fdd3275d02b3712c88fa15f682a70a36%22	http://images01.nicepagecdn.com/c461c07a441a5d220e8feb1a/2d952497edb453a0ab89d9eb/7268552.png	C:/Users/beaux/Desktop/consite/construct/images01.nicepagecdn.com/c461c07a441a5d220e8feb1a/2d952497edb453a0ab89d9eb/7268552.png	(from https://homeconstruction.nicepage.io/?version=8e80013a-8d84-4fa6-9dee-d301945c26dd)
23:18:17	353691/353691	---M--	200	added ('OK')	image/jpeg	etag:%22eaf236fa34039a053ff2ff895d2a459c%22	https://pixabay.com/get/gb1b03fdca74aefc3b2dc6ac3e3bd082fbe7deb7af59327a7d0e58635d0fcb896144a95d58667601380960c071d05ab0e9a7b3cf8f46517a157ea6e5e04bddaf1_1280.jpg	C:/Users/beaux/Desktop/consite/construct/pixabay.com/get/crane-house-gb1b03fdca_1280.jpg	(from https://homeconstruction.nicepage.io/?version=8e80013a-8d84-4fa6-9dee-d301945c26dd)
23:18:22	24248/24248	---M--	200	added ('OK')	image/jpeg	etag:%228fa3bafe46e405419063bf21e64a753f%22	http://images01.nicepagecdn.com/c461c07a441a5d220e8feb1a/23f2b6ec8f435911852884f1/2.jpg	C:/Users/beaux/Desktop/consite/construct/images01.nicepagecdn.com/c461c07a441a5d220e8feb1a/23f2b6ec8f435911852884f1/2.jpg	(from https://homeconstruction.nicepage.io/Home-1.css)
23:18:22	25904/25904	---M--	200	added ('OK')	image/jpeg	etag:%2278e5cd416d35ec0dbc225abf60c49b75%22	http://images01.nicepagecdn.com/c461c07a441a5d220e8feb1a/dee2a7ea9eea577cab16110a/fff.jpg	C:/Users/beaux/Desktop/consite/construct/images01.nicepagecdn.com/c461c07a441a5d220e8feb1a/dee2a7ea9eea577cab16110a/fff.jpg	(from https://homeconstruction.nicepage.io/Home-1.css)
23:18:23	29555/29555	---M--	200	added ('OK')	image/jpeg	etag:%22f0211a6839306687e295486b81076e49%22	http://images01.nicepagecdn.com/c461c07a441a5d220e8feb1a/47d488474b1750ad8f9a684f/fggf.jpg	C:/Users/beaux/Desktop/consite/construct/images01.nicepagecdn.com/c461c07a441a5d220e8feb1a/47d488474b1750ad8f9a684f/fggf.jpg	(from https://homeconstruction.nicepage.io/Home-1.css)
23:18:23	5034/5034	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22f8b743d4c70f92952af16fb7d0e804ed%22	https://homeconstruction.nicepage.io/signature.png	C:/Users/beaux/Desktop/consite/construct/homeconstruction.nicepage.io/signature.12.delayed	(from http://capp.nicepage.com/ac8fb6fb0dea48cd4daed7a7a49112782e4a8011/nicepage.js)
23:18:24	5852/5852	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%229376a5eec84e7198d01fd7fafbfa9448%22	https://homeconstruction.nicepage.io/Content/BundledScripts/	C:/Users/beaux/Desktop/consite/construct/homeconstruction.nicepage.io/Content/BundledScripts/index.html	(from http://capp.nicepage.com/ac8fb6fb0dea48cd4daed7a7a49112782e4a8011/nicepage.js)
23:18:25	5852/5852	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%229376a5eec84e7198d01fd7fafbfa9448%22	https://homeconstruction.nicepage.io/ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789+/	C:/Users/beaux/Desktop/consite/construct/homeconstruction.nicepage.io/ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789+/index.html	(from http://capp.nicepage.com/ac8fb6fb0dea48cd4daed7a7a49112782e4a8011/nicepage.js)
23:18:34	92411/92411	---M--	200	added ('OK')	image/jpeg	etag:%22e06747e5896c7fac28f4a0af621a9937%22	http://images01.nicepagecdn.com/a1389d7bc73adea1e1c1fb7e/fd44305e8d7e5cb4adf5f7cd/low-angle-shot-creative-modern-building-with-outstanding-architectural-twists.jpg	C:/Users/beaux/Desktop/consite/construct/images01.nicepagecdn.com/a1389d7bc73adea1e1c1fb7e/fd44305e8d7e5cb4adf5f7cd/low-angle-shot-creative-modern-building-with-outstanding-architectural-twists.jpg	(from https://homeconstruction.nicepage.io/Home-1.css)
23:18:35	104489/104489	---M--	200	added ('OK')	image/jpeg	etag:%22d6b7cf928bc53775e915e9afafbf6c60%22	http://images01.nicepagecdn.com/a1389d7bc73adea1e1c1fb7e/8f93fb525fca5a7d86a20ba0/black-white-exterior-building.jpg	C:/Users/beaux/Desktop/consite/construct/images01.nicepagecdn.com/a1389d7bc73adea1e1c1fb7e/8f93fb525fca5a7d86a20ba0/black-white-exterior-building.jpg	(from https://homeconstruction.nicepage.io/Home-1.css)
23:18:35	343831/343831	---M--	200	added ('OK')	image/jpeg	etag:%22a97d76392a5b85cf86983182a92b1666%22	https://assets.nicepagecdn.com/473903c2/5085481/images/127cadf82a2653f3e4aeafe2253417091964249c1fe6167bf6fbd276fdfa5d39b216f6d9d283dc97a577e41a83f7929b48f9f6f26c975b3df749ab_1280.jpg	C:/Users/beaux/Desktop/consite/construct/assets.nicepagecdn.com/473903c2/5085481/images/127cadf82a2653f3e4aeafe2253417091964249c1fe6167bf6fbd276fdfa5d39b216f6d9d283dc97a577e41a83f7929b48f9f6f26c975b3df749ab_1280.jpg	(from https://homeconstruction.nicepage.io/Home-1.css)
